ID Cliente,Nombre,Edad,Género,Provincia,Nivel de Ingresos,Ocupación
43,Mateo Lluch Mata,47,Femenino,Santiago del Estero,Medio,Personal assistant
44,Águeda del Barba,23,Masculino,Corrientes,Medio,"Lecturer, higher education"
45,Celestina Roca Sanmiguel,34,Masculino,Santiago del Estero,Alto,Naval architect
46,Alcides Barceló Guardiola,56,Femenino,Salta,Bajo,Field seismologist
47,Borja Montaña Ávila,42,Masculino,Chaco,Medio,Estate agent
48,Sara Iglesias Ruano,22,Masculino,Tucumán,Bajo,Sports development officer
49,Concha Valencia Osuna,22,Masculino,Tierra del Fuego,Alto,Graphic designer
50,Etelvina Cáceres Bejarano,37,Masculino,Río Negro,Medio,Patent examiner
51,Jimena Ballester Sastre,33,Femenino,San Luis,Medio,Science writer
52,Alexandra Uría-Rincón,68,Femenino,Jujuy,Bajo,Environmental manager
53,Nilo Quirós Vara,58,Femenino,Catamarca,Medio,"Designer, textile"
54,Osvaldo Diaz-Villalobos,54,Otro,Catamarca,Bajo,Occupational psychologist
55,Tania Ocaña,57,Masculino,Salta,Medio,"Engineer, civil (contracting)"
56,Wilfredo Esparza Ortiz,26,Masculino,Jujuy,Alto,"Surveyor, commercial/residential"
57,Azeneth Llopis Daza,22,Masculino,Salta,Alto,Aid worker
58,Oriana Coll Abad,59,Masculino,Santiago del Estero,Medio,"Secretary, company"
59,Encarnita de Francisco,74,Masculino,Salta,Medio,Holiday representative
60,Gilberto Danilo Santana Camps,19,Femenino,Santa Fe,Bajo,"Surveyor, quantity"
61,Nadia Moliner Almazán,26,Femenino,Chaco,Medio,Museum/gallery exhibitions officer
62,Armando Machado,60,Masculino,Santa Fe,Medio,Phytotherapist
63,Eugenio Pagès Gallo,53,Femenino,Tierra del Fuego,Medio,Dealer
64,Santos Luque Toledo,39,Femenino,Córdoba,Alto,"Teacher, special educational needs"
65,Ulises Solano Aliaga,39,Femenino,La Rioja,Medio,Clinical embryologist
66,Benigno Mayoral Lara,39,Femenino,Santiago del Estero,Bajo,Data scientist
67,Soledad Elorza Pascual,51,Femenino,Santa Cruz,Medio,Software engineer
68,Cayetana Cárdenas Sales,72,Femenino,Salta,Bajo,Social worker
69,Juan Antonio Almansa Agustín,46,Femenino,Salta,Medio,Graphic designer
70,Dorotea Río Vergara,55,Femenino,Jujuy,Medio,Chiropodist
71,Abraham Gonzalo Segovia,63,Masculino,Corrientes,Bajo,Community education officer
72,Julieta Piñol Herrera,50,Masculino,Río Negro,Medio,"Presenter, broadcasting"
73,Lucila Hervás,35,Femenino,Mendoza,Medio,Social worker
74,Eutimio Portero-Roig,24,Masculino,Catamarca,Medio,Aid worker
75,Amado Castañeda Godoy,18,Masculino,CABA,Bajo,Insurance risk surveyor
76,Felipe del Giralt,50,Femenino,Río Negro,Bajo,"Surveyor, commercial/residential"
77,Herminia Rosario Batlle Cuadrado,18,Masculino,Córdoba,Medio,Mining engineer
78,Fito de Real,41,Femenino,Córdoba,Bajo,Occupational therapist
79,Ruperta Leon Feijoo,21,Femenino,Mendoza,Medio,Personal assistant
80,Florencio Aramburu Figuerola,21,Otro,Corrientes,Medio,Armed forces logistics/support/administrative officer
81,Esteban Ruiz Barco,35,Femenino,Chubut,Bajo,IT trainer
82,Nacio Campos Gomila,44,Masculino,Tucumán,Medio,"Nurse, learning disability"
83,Macario de Arenas,60,Femenino,Corrientes,Medio,"Scientist, research (maths)"
84,Anita Seguí Pizarro,49,Femenino,CABA,Medio,"Engineer, communications"
85,Vasco Juan José Conde Marquez,50,Otro,Salta,Bajo,"Programme researcher, broadcasting/film/video"
86,Nazaret Luís,45,Masculino,Mendoza,Medio,Microbiologist
87,Paco Martí Lloret,59,Masculino,Santa Fe,Bajo,IT consultant
88,Violeta Andrade-Franco,58,Femenino,Santa Fe,Medio,Hotel manager
89,Marcio Albert Santamaría Prado,72,Masculino,Río Negro,Bajo,Geographical information systems officer
90,Irma Bayona-Miralles,53,Femenino,Santa Cruz,Alto,"Engineer, broadcasting (operations)"
91,Lorenza Sierra Amador,23,Masculino,CABA,Medio,"Investment banker, operational"
92,Martirio Requena-Berenguer,33,Masculino,Chubut,Alto,Furniture designer
93,Yago Real,51,Masculino,San Juan,Medio,Oceanographer
94,Clementina Feliu Arribas,40,Masculino,Corrientes,Bajo,Broadcast journalist
95,Selena de Arjona,67,Femenino,La Pampa,Alto,Patent attorney
96,Santiago Rius-Losada,59,Femenino,La Pampa,Bajo,Medical technical officer
97,Adán Guillén Angulo,41,Masculino,Santiago del Estero,Bajo,Dealer
98,Coral Puga Fuertes,73,Femenino,Salta,Bajo,"Scientist, marine"
99,Inocencio Requena-Vallejo,66,Masculino,Río Negro,Alto,IT technical support officer
100,Poncio del Martorell,30,Femenino,Mendoza,Medio,Mechanical engineer
101,Leonor Llopis Rosa,73,Masculino,Santiago del Estero,Medio,Chartered public finance accountant
102,Evaristo Montoya Montenegro,35,Femenino,Chubut,Medio,"Development worker, international aid"
103,Ulises Cervera,71,Femenino,Santa Cruz,Medio,Osteopath
104,Natanael Ángel Goñi,30,Femenino,Río Negro,Medio,Special educational needs teacher
105,Baudelio Pulido-Porras,66,Femenino,Santiago del Estero,Bajo,Animal nutritionist
106,Apolonia Ramírez Amores,54,Femenino,Santiago del Estero,Medio,Lexicographer
107,Cesar Rocamora Casals,60,Otro,Río Negro,Bajo,Psychotherapist
108,Caridad Carlos-Pereira,56,Femenino,Río Negro,Bajo,"Editor, film/video"
109,Angelino Vicente Sanz Fuente,59,Femenino,Misiones,Medio,Hydrologist
110,Plinio Gaya Barriga,34,Femenino,Córdoba,Medio,Corporate treasurer
111,Leopoldo Carbajo Belda,32,Masculino,CABA,Medio,Neurosurgeon
112,África Campo Pedro,35,Femenino,Misiones,Bajo,Advertising art director
113,Amarilis Camino Romero,40,Masculino,Río Negro,Bajo,Housing manager/officer
114,Mayte de Botella,71,Femenino,Tierra del Fuego,Medio,"Designer, furniture"
115,Elisa Ángela Águila Crespi,68,Femenino,Santa Cruz,Medio,Analytical chemist
116,Pía Heras Canales,47,Femenino,Mendoza,Bajo,Naval architect
117,Lilia Jimenez Ribas,51,Masculino,Neuquén,Medio,Fashion designer
118,Diego Román Peláez,21,Masculino,La Rioja,Bajo,"Engineer, drilling"
119,Febe Blasco,20,Femenino,Formosa,Bajo,Chartered management accountant
120,Noé Terrón Pulido,24,Femenino,San Juan,Bajo,Merchant navy officer
121,Haydée Teodora Sanjuan Palmer,73,Masculino,Santa Fe,Alto,Information systems manager
122,Noa Leon-Nadal,35,Masculino,Misiones,Medio,"Geneticist, molecular"
123,Vera Acedo,59,Femenino,Santa Cruz,Bajo,Hotel manager
124,Itziar Cerdá Peláez,24,Femenino,Chaco,Medio,"Teacher, secondary school"
125,Tamara Murcia Esparza,57,Masculino,Entre Ríos,Medio,Social worker
126,Bibiana Miranda Arrieta,23,Masculino,Entre Ríos,Medio,Fine artist
127,Dora Juárez-Ayuso,39,Masculino,Santiago del Estero,Medio,Marine scientist
128,Pelayo Barrios Mendizábal,18,Otro,Santiago del Estero,Bajo,Futures trader
129,Micaela Salamanca,21,Masculino,Río Negro,Medio,Sports therapist
130,Calista Castelló Antúnez,63,Masculino,Tucumán,Medio,Armed forces technical officer
131,Macario Román Antón Ponce,66,Masculino,Jujuy,Bajo,"Engineer, broadcasting (operations)"
132,Andrea Salomé Pera Vilaplana,69,Masculino,Santa Fe,Medio,Adult nurse
133,Luciano Trujillo Coll,67,Femenino,Salta,Alto,Ranger/warden
134,Amado Real-Moliner,60,Masculino,Buenos Aires,Medio,Quantity surveyor
135,Nieves Company Amo,46,Masculino,San Juan,Medio,Food technologist
136,Florinda Gil Viana,38,Masculino,Jujuy,Bajo,Associate Professor
137,Lucio Peralta,43,Masculino,Santa Fe,Medio,Meteorologist
138,Óscar Bustos-Ferreras,31,Masculino,Chaco,Bajo,Clinical research associate
139,Serafina Malo Carballo,26,Femenino,Buenos Aires,Bajo,Technical author
140,Cesar Pinilla Peláez,64,Femenino,Chaco,Medio,"Engineer, electronics"
141,Serafina Calzada-Gómez,29,Femenino,Chaco,Alto,"Surveyor, land/geomatics"
142,Marcelino Castañeda Pi,59,Femenino,Chaco,Medio,"Engineer, maintenance (IT)"
143,Marco Julián Casado,68,Femenino,Salta,Bajo,Research scientist (life sciences)
144,Luisa Paloma Calzada Delgado,73,Masculino,Formosa,Medio,Equities trader
145,Fito Estrada Reyes,68,Femenino,San Luis,Alto,Product designer
146,Teófilo Iván Rojas Hervás,23,Femenino,Mendoza,Medio,Commercial/residential surveyor
147,Graciana Bolaños Naranjo,37,Femenino,Chaco,Medio,"Scientist, forensic"
148,María Teresa Andrés-Vall,41,Femenino,Chubut,Alto,Civil Service fast streamer
149,Sabas Diez Jurado,44,Masculino,Mendoza,Medio,Probation officer
150,Alicia Alcázar Osorio,55,Femenino,Tierra del Fuego,Bajo,Gaffer
151,Tamara Silva Bermúdez,25,Femenino,Río Negro,Bajo,Podiatrist
152,Paca Tenorio Martin,18,Otro,Santiago del Estero,Alto,Interior and spatial designer
153,Flavio Miguel Zabaleta,71,Masculino,Chubut,Medio,Chartered certified accountant
154,Malena Corbacho,66,Masculino,Entre Ríos,Bajo,Intelligence analyst
155,Dimas Morera Galindo,66,Masculino,Río Negro,Medio,"Therapist, sports"
156,Arsenio Meléndez Campoy,41,Femenino,Buenos Aires,Medio,"Engineer, chemical"
157,Ramona Abellán-Alcázar,64,Masculino,Tierra del Fuego,Alto,Administrator
158,Gilberto de Agustín,24,Masculino,Córdoba,Bajo,"Scientist, physiological"
159,Iker Solís Coello,36,Otro,La Pampa,Medio,"Solicitor, Scotland"
160,David Salom,39,Masculino,Río Negro,Alto,Analytical chemist
161,Tomás Ibáñez,74,Femenino,Chubut,Bajo,Building services engineer
162,Ana Belén Crespo Puente,72,Masculino,Río Negro,Bajo,Market researcher
163,Félix Pina Borja,52,Femenino,Corrientes,Alto,"Administrator, education"
164,Timoteo Patiño Duran,47,Femenino,San Luis,Medio,"Nurse, children's"
165,Ramona Coral Marí Montesinos,46,Femenino,Buenos Aires,Medio,"Accountant, chartered public finance"
166,Elpidio Cornejo,39,Femenino,Formosa,Medio,Nutritional therapist
167,Felix Exposito Marin,28,Masculino,San Juan,Bajo,"Engineer, materials"
168,Marcelo del Peña,37,Masculino,Mendoza,Alto,Clothing/textile technologist
169,Odalys Porta,46,Masculino,Neuquén,Bajo,Microbiologist
170,Dorita del Perez,68,Femenino,Catamarca,Bajo,Trading standards officer
171,Renato Guillén,58,Femenino,Tucumán,Bajo,"Psychotherapist, dance movement"
172,Lino Pazos Alegria,59,Masculino,Jujuy,Bajo,Probation officer
173,Joel Crespo Aramburu,51,Femenino,Formosa,Medio,Ship broker
174,Carlito Guadalupe Cañellas Oller,18,Masculino,Mendoza,Medio,Animal technologist
175,Martirio Guardiola Cerezo,48,Femenino,Río Negro,Alto,Information officer
176,Pascuala Escrivá Tirado,47,Otro,Catamarca,Medio,"Programmer, multimedia"
177,Telmo Mateo Serna,65,Masculino,Santiago del Estero,Medio,Arts development officer
178,Carlos Herberto Priego Verdejo,35,Femenino,Tierra del Fuego,Medio,"Therapist, drama"
179,Juan Pablo Royo Chaparro,72,Masculino,Neuquén,Medio,Psychiatric nurse
180,Elvira Ferreras Cordero,34,Femenino,Salta,Medio,"Surveyor, land/geomatics"
181,Tania del Carreño,55,Femenino,Misiones,Bajo,"Research officer, government"
182,Roldán Pla-Corominas,31,Masculino,Corrientes,Bajo,"Nurse, adult"
183,Alicia Duran Soria,40,Masculino,Santa Cruz,Bajo,Air cabin crew
184,Íñigo Feijoo Gil,42,Masculino,Río Negro,Medio,Oceanographer
185,Emelina Fernandez-Bolaños,32,Femenino,Santa Fe,Alto,Arboriculturist
186,Mauricio Isern-Gordillo,63,Femenino,Entre Ríos,Bajo,Pension scheme manager
187,Cosme Pina Rocamora,73,Masculino,Chaco,Bajo,"Investment banker, operational"
188,Sandra Falcó,39,Femenino,Santa Cruz,Bajo,Geoscientist
189,Tomasa Morales Abella,20,Femenino,Tucumán,Medio,Clinical biochemist
190,Antonia Pulido-Burgos,73,Masculino,Neuquén,Bajo,Physiotherapist
191,Tomás Sevillano Burgos,72,Masculino,Chubut,Bajo,Chief Marketing Officer
192,Ximena del Antón,36,Femenino,Mendoza,Bajo,Adult nurse
193,Eusebia Olivares-Manzanares,74,Femenino,Córdoba,Medio,"Journalist, newspaper"
194,Teo Río-Amorós,61,Masculino,Chubut,Medio,Building control surveyor
195,Samuel Sales Mendizábal,51,Masculino,Salta,Medio,Stage manager
196,Ángela Bejarano Gilabert,52,Masculino,Corrientes,Bajo,Civil Service fast streamer
197,Hermenegildo Cabrera Torre,67,Femenino,Córdoba,Medio,"Horticulturist, commercial"
198,Eusebia Cabeza Alcántara,18,Masculino,CABA,Bajo,"Administrator, arts"
199,Marcio del Valcárcel,69,Masculino,La Pampa,Bajo,Fine artist
200,Sebastián Villalobos Páez,38,Femenino,Corrientes,Medio,"Conservator, museum/gallery"
201,Rosalinda Sánchez-Salinas,46,Femenino,Santiago del Estero,Bajo,Commercial horticulturist
202,Leonardo Cantón Segovia,23,Masculino,Santa Fe,Medio,"Psychologist, clinical"
203,Amor Pedro Ledesma,54,Masculino,Entre Ríos,Bajo,"Scientist, product/process development"
204,Hector Benito Gonzalo Bustamante,18,Femenino,Chubut,Bajo,Gaffer
205,María Teresa Manrique Manzanares,68,Masculino,San Juan,Alto,TEFL teacher
206,Eloísa Valdés Pablo,18,Masculino,Santiago del Estero,Medio,Musician
207,Valentín Tejada Hidalgo,44,Femenino,Río Negro,Medio,"Research officer, political party"
208,Efraín Amador Contreras,38,Masculino,Misiones,Medio,"Administrator, arts"
209,Heraclio Ruano Llobet,70,Femenino,La Rioja,Medio,"Conservator, furniture"
210,Telmo Nuñez Parejo,33,Femenino,Salta,Medio,Homeopath
211,Ámbar Coronado,61,Masculino,Chubut,Medio,"Surveyor, hydrographic"
212,María Carmen Marí Cuevas,71,Masculino,Misiones,Bajo,Haematologist
213,Maximiliano Flores,57,Femenino,Córdoba,Bajo,"Teacher, music"
214,Borja Cortina-Aguilar,43,Femenino,Neuquén,Medio,Public relations officer
215,Fabiola Peñas Peralta,33,Femenino,Corrientes,Bajo,Rural practice surveyor
216,Valeria Lorenzo Costa,45,Femenino,Misiones,Bajo,"Engineer, biomedical"
217,Amílcar Alcaraz León,18,Masculino,San Juan,Bajo,Automotive engineer
218,Juana Fátima Soler Amaya,53,Femenino,Buenos Aires,Bajo,Insurance account manager
219,Consuela Sarmiento-Pelayo,27,Masculino,Córdoba,Bajo,Counsellor
220,Lorena Solé-Colomer,60,Masculino,Catamarca,Bajo,"Conservator, furniture"
221,Sofía Tomé-Sanz,34,Masculino,Chubut,Bajo,Commercial/residential surveyor
222,Lidia Reguera,74,Masculino,La Rioja,Bajo,"Therapist, art"
223,Guadalupe Boix Huguet,40,Femenino,La Pampa,Medio,Financial adviser
224,Perla Hernández Soriano,24,Masculino,Mendoza,Bajo,Pensions consultant
225,Yaiza Viñas Franch,61,Masculino,Río Negro,Alto,"Chemist, analytical"
226,Marisol Dávila-Cabo,70,Masculino,San Juan,Medio,Gaffer
227,Manuelita Coello Ávila,24,Femenino,Salta,Medio,Tree surgeon
228,Lourdes Anaya Vaquero,61,Femenino,Salta,Medio,"Teacher, special educational needs"
229,Ciriaco Manrique Sosa,32,Masculino,La Pampa,Bajo,Technical brewer
230,Tomasa Esparza Expósito,51,Masculino,Santa Cruz,Bajo,"Teacher, music"
231,Cesar Miguel-Gutiérrez,63,Masculino,Jujuy,Alto,"Engineer, materials"
232,Macario Alonso Giménez,62,Femenino,Río Negro,Bajo,Accounting technician
233,Alma Tenorio Luz,21,Femenino,CABA,Alto,"Engineer, manufacturing systems"
234,Marco Figuerola Olivera,31,Femenino,Salta,Medio,"Surveyor, insurance"
235,Evelia de Pi,31,Femenino,Santiago del Estero,Bajo,Scientific laboratory technician
236,Ruth Carranza Morell,33,Masculino,Santa Cruz,Medio,Microbiologist
237,Adelia Huguet Paz,24,Femenino,Jujuy,Medio,Travel agency manager
238,Fabricio Jara Aranda,49,Femenino,Mendoza,Bajo,Lobbyist
239,Román Bilbao Cózar,36,Masculino,La Rioja,Bajo,Forest/woodland manager
240,Marisa del Blanch,19,Masculino,Neuquén,Medio,Manufacturing systems engineer
241,Camila Benavent Arnaiz,27,Femenino,Corrientes,Medio,Retail banker
242,Lola Pulido Font,67,Femenino,Santiago del Estero,Bajo,Bookseller
243,Cristina Alberdi,34,Masculino,Santa Fe,Bajo,Accounting technician
244,Herminio Zabala Diaz,54,Femenino,Mendoza,Alto,Broadcast presenter
245,Elisabet Salinas Durán,29,Femenino,La Rioja,Medio,Cytogeneticist
246,Juliana Asenjo Oliveras,23,Masculino,La Rioja,Medio,"Psychotherapist, dance movement"
247,Julie Molins Alfonso,39,Masculino,CABA,Alto,Games developer
248,Fernanda Almansa,49,Masculino,Chubut,Bajo,"Engineer, technical sales"
249,Candelaria Feliu,58,Femenino,CABA,Medio,Mudlogger
250,Paola Bermúdez,37,Masculino,Tierra del Fuego,Medio,"Therapist, horticultural"
251,Jerónimo Téllez-Manjón,18,Masculino,Santa Cruz,Medio,English as a second language teacher
252,Jerónimo Pacheco Alemany,71,Femenino,Mendoza,Bajo,Lawyer
253,Rosalva Rosalinda Tena Sanabria,64,Femenino,Catamarca,Bajo,"Engineer, petroleum"
254,Silvio de Muñoz,70,Masculino,La Pampa,Medio,"Engineer, automotive"
255,Olimpia Berrocal,23,Masculino,Río Negro,Bajo,Clinical biochemist
256,Emigdio Bautista Armengol,36,Femenino,Buenos Aires,Alto,Counsellor
257,Ignacio Reguera Albero,35,Femenino,San Luis,Bajo,Freight forwarder
258,María Manuela Galiano Oliver,23,Femenino,La Pampa,Bajo,"Investment banker, operational"
259,Reina Echevarría Llorente,62,Masculino,Formosa,Bajo,Herpetologist
260,Dolores Lladó Pelayo,50,Femenino,Misiones,Medio,Farm manager
261,María Del Carmen Galiano Sola,40,Femenino,Formosa,Alto,Barrister's clerk
262,Juan Antonio Soria Neira,40,Femenino,Corrientes,Medio,Education administrator
263,Andrés Cabezas Cepeda,43,Femenino,Río Negro,Alto,Retail manager
264,Juan Carlos Moreno Talavera,30,Masculino,Catamarca,Bajo,"Engineer, drilling"
265,Teodoro Vargas,24,Masculino,San Luis,Bajo,Occupational hygienist
266,Guadalupe Pili Parra Vives,32,Femenino,Chaco,Medio,Secondary school teacher
267,Jose Carlos Perez Manzano,61,Femenino,Corrientes,Alto,"Engineer, energy"
268,Alfredo Carranza Marcos,44,Femenino,Tierra del Fuego,Medio,"Development worker, community"
269,Amanda Carretero-Gómez,43,Masculino,La Rioja,Medio,Maintenance engineer
270,María Carmen Santana,50,Femenino,San Juan,Bajo,Sports therapist
271,Galo Perales Cervantes,32,Femenino,Chubut,Bajo,Geochemist
272,Aarón Seve Mascaró Corral,53,Masculino,Tierra del Fuego,Alto,Bookseller
273,Florina Bernardita Blanes Gilabert,62,Masculino,Tierra del Fuego,Bajo,"Doctor, hospital"
274,Consuelo Solís-Arnal,72,Femenino,Santiago del Estero,Bajo,Herpetologist
275,Felicidad Sanmartín Santos,44,Femenino,Jujuy,Medio,Corporate treasurer
276,Jacobo Hoyos Peinado,74,Femenino,La Rioja,Bajo,Secondary school teacher
277,Jesús Pascual Arnau,22,Femenino,Entre Ríos,Medio,International aid/development worker
278,Apolinar Cano Tapia,19,Masculino,San Luis,Bajo,Theatre manager
279,Marcela de Rojas,72,Masculino,Neuquén,Medio,"Social research officer, government"
280,Saturnina Enríquez-Madrigal,50,Femenino,Buenos Aires,Medio,Equities trader
281,Vito de Barros,33,Femenino,Catamarca,Medio,"Designer, fashion/clothing"
282,Valentina Roselló-Alvarez,40,Femenino,San Juan,Medio,Learning disability nurse
283,Diana Abad Torrens,55,Femenino,San Juan,Bajo,"Scientist, audiological"
284,Matilde Almansa Anglada,72,Masculino,CABA,Medio,Games developer
285,Nazario Berrocal-Garcés,33,Femenino,Chubut,Medio,"Embryologist, clinical"
286,Candelario Rodríguez Malo,31,Masculino,Buenos Aires,Medio,Set designer
287,Danilo de Almagro,46,Masculino,Jujuy,Bajo,Media buyer
288,Xavier Rius Fajardo,43,Masculino,Santa Cruz,Bajo,"Optician, dispensing"
289,Piedad Castell Gimeno,52,Masculino,Jujuy,Bajo,Garment/textile technologist
290,Rafael Pablo Mas Parejo,32,Masculino,Chubut,Medio,"Sales professional, IT"
291,Petrona Verdugo Clavero,20,Masculino,San Juan,Bajo,"Pharmacist, hospital"
292,Galo Terrón Verdú,40,Masculino,Santa Fe,Alto,Building surveyor
293,Esmeralda Mate,46,Masculino,Neuquén,Medio,Logistics and distribution manager
294,Nicanor Larrea Diez,51,Femenino,Santa Cruz,Medio,Museum/gallery curator
295,Galo Egea Escamilla,50,Masculino,Entre Ríos,Medio,Race relations officer
296,Baldomero Matas-Tello,58,Masculino,Salta,Bajo,Regulatory affairs officer
297,Jovita Ramos Arévalo,58,Femenino,La Rioja,Medio,Financial trader
298,Guiomar Fernandez Villena,40,Femenino,Santa Fe,Medio,Youth worker
299,Fausto Suárez Miralles,24,Femenino,La Rioja,Alto,Sport and exercise psychologist
300,María Manuela Miguel Gimeno,20,Masculino,Buenos Aires,Alto,Associate Professor
301,Celso del Corominas,49,Femenino,Chaco,Bajo,Exercise physiologist
302,Blanca de Chacón,48,Masculino,Entre Ríos,Bajo,Accommodation manager
303,Ezequiel del Coronado,35,Masculino,Buenos Aires,Medio,Medical illustrator
304,Melchor Luján García,60,Masculino,Neuquén,Medio,Clinical biochemist
305,Seve Soto-Robles,24,Femenino,San Juan,Bajo,Trade mark attorney
306,Haroldo Meléndez Ayllón,58,Masculino,Buenos Aires,Bajo,Haematologist
307,Josep Novoa Morillo,18,Masculino,La Pampa,Bajo,Veterinary surgeon
308,Adriana Prieto Paz,31,Masculino,Tierra del Fuego,Medio,Counselling psychologist
309,Adelia del Gárate,69,Femenino,CABA,Alto,"Civil engineer, contracting"
310,Aureliano de Medina,49,Femenino,Buenos Aires,Medio,Health service manager
311,Nicanor Escribano Olivares,23,Masculino,La Rioja,Medio,"Designer, interior/spatial"
312,Cloe Galindo Bru,56,Femenino,Río Negro,Bajo,Commissioning editor
313,Adalberto Valdés,27,Femenino,Santiago del Estero,Bajo,English as a second language teacher
314,Leyre Nicolás-Benavides,24,Femenino,Santiago del Estero,Medio,Armed forces training and education officer
315,Tania Terrón,43,Masculino,Jujuy,Medio,Land
316,Quirino Vallejo,51,Femenino,San Juan,Bajo,Osteopath
317,Isaías Agullo Comas,47,Masculino,Neuquén,Medio,Commercial/residential surveyor
318,Leandra Gras,53,Femenino,Salta,Alto,Minerals surveyor
319,Sigfrido Cámara Peláez,38,Masculino,Jujuy,Alto,Sports coach
320,Maximiano Yáñez Montaña,34,Masculino,Catamarca,Bajo,Medical sales representative
321,Angelino Buenaventura Falcó Duran,50,Masculino,Santa Fe,Bajo,Chiropractor
322,Lope del Diego,27,Femenino,Río Negro,Bajo,Financial controller
323,Rafa del Losa,68,Masculino,Córdoba,Medio,"Lecturer, higher education"
324,Candelario Pedro Cruz Cuéllar,64,Femenino,Catamarca,Alto,"Geologist, wellsite"
325,Eligio Domínguez Román,59,Masculino,Formosa,Bajo,Advertising account planner
326,Dominga Garcés Bustamante,68,Femenino,La Pampa,Bajo,Commercial art gallery manager
327,Agustina Paz Jiménez Girona,29,Femenino,Santa Fe,Alto,Multimedia programmer
328,Clara Pacífica Valderrama Font,73,Femenino,Mendoza,Medio,Civil Service fast streamer
329,Albano Guardiola Olivera,33,Femenino,San Juan,Alto,Politician's assistant
330,Casemiro Ramón Ribas,58,Femenino,Santiago del Estero,Bajo,Heritage manager
331,Gastón Aguirre Puerta,49,Masculino,Tucumán,Medio,Outdoor activities/education manager
332,Juan Antonio Santiago Ribera Tena,32,Femenino,Santiago del Estero,Bajo,Web designer
333,Javier Mendoza Paredes,44,Masculino,Chaco,Bajo,"Librarian, academic"
334,Águeda Rocío Ugarte Fajardo,45,Femenino,Santiago del Estero,Medio,Arts administrator
335,Demetrio Adelardo Guitart Barberá,34,Femenino,Tucumán,Bajo,Insurance underwriter
